date,CHUBU,"CHUGOKU, SHIKOKU",HOKKAIDO,KANTO,KINKI,"KYUSHU, OKINAWA.",NEAR JAPAN,TOHOKU
1997-10-01,533.2,317.4999999999999,939.6999999999996,1264.8999999999996,475.3,2641.9000000000033,313.6000000000001,1073.9
1997-11-01,1124.9000000000003,648.8999999999999,1883.7999999999995,2528.899999999998,925.8000000000003,5134.599999999999,680.5,2346.6000000000004
1997-12-01,1639.9000000000005,977.7999999999997,2928.6,3816.2999999999975,1367.2000000000003,7396.1,976.5,3619.600000000002
1998-01-01,2156.1000000000004,1187.4999999999998,3984.5999999999995,5141.199999999998,1763.4000000000003,9778.499999999998,1333.8999999999999,4948.6
1998-02-01,2691.600000000001,1395.0999999999997,4991.5,6216.999999999998,2200.1000000000004,11629.399999999996,1577.8999999999999,5976.5
1998-03-01,3165.2000000000007,1659.9999999999998,6004.4,7371.899999999998,2720.3,14256.199999999986,1860.1999999999998,7435.8
1998-04-01,3753.000000000001,1944.5999999999997,7097.700000000001,12322.099999999993,3574.7,16982.599999999984,2264.2999999999997,8690.900000000001
1998-05-01,4367.500000000001,2274.2999999999997,8147.0,16151.69999999999,4210.299999999999,20334.89999999998,2677.6,10272.300000000003
1998-06-01,4875.800000000001,2565.4999999999995,9154.099999999999,17886.999999999993,4844.199999999999,22852.799999999977,3047.0,11680.2
1998-07-01,5553.600000000001,2939.0999999999995,10317.0,19313.59999999999,5464.199999999999,25348.89999999998,3582.7,12895.5
1998-08-01,10308.900000000012,3329.6,11313.5,20744.59999999999,6079.799999999998,28127.099999999977,4031.2,14559.3
1998-09-01,12478.300000000008,3628.7999999999997,12215.4,21736.59999999999,6618.699999999999,31145.29999999997,4427.7,16483.700000000004
1998-10-01,13892.50000000001,3934.2999999999997,13000.8,22857.49999999999,7218.899999999999,33029.69999999997,4798.2,17631.900000000005
1998-11-01,14693.30000000001,4212.4,13702.199999999999,23975.69999999999,7776.899999999999,34921.19999999997,5120.2,18781.900000000005
1998-12-01,15212.60000000001,4495.2,14505.9,25164.799999999992,8281.8,37776.39999999997,5374.0,20227.300000000003
1999-01-01,15871.20000000001,4783.3,15452.0,26271.999999999993,8823.5,40224.39999999997,5715.1,21545.200000000004
1999-02-01,16428.10000000001,5044.5,16507.0,27412.899999999994,10188.399999999998,41963.99999999997,6006.900000000001,22750.800000000007
1999-03-01,17073.80000000001,5321.9,17493.9,28927.799999999996,11667.099999999995,44108.29999999997,6283.300000000001,24183.300000000007
1999-04-01,17703.20000000001,5644.599999999999,18401.2,30016.399999999998,12501.499999999995,46045.29999999996,6559.500000000001,25534.200000000008
1999-05-01,18413.70000000001,6020.4,19336.9,31140.499999999996,13453.799999999996,48321.29999999996,7035.000000000001,26930.90000000001
1999-06-01,19075.60000000001,6381.4,20460.9,32217.399999999994,14491.599999999997,50338.49999999996,7439.500000000001,28343.500000000007
1999-07-01,19695.10000000001,6760.499999999999,21428.9,33442.799999999996,15446.499999999998,52495.09999999996,7856.600000000001,29641.600000000006
1999-08-01,20346.00000000001,7119.599999999999,22463.4,34695.49999999999,16376.499999999998,54281.99999999996,8188.4000000000015,30942.800000000007
1999-09-01,21231.60000000001,7556.2,23459.100000000002,35763.49999999999,17059.499999999996,56198.899999999965,9157.700000000003,32145.700000000008
1999-10-01,21788.80000000001,8115.4,24210.2,37025.299999999996,17763.299999999996,58581.19999999996,9774.800000000003,33403.100000000006
1999-11-01,22439.400000000012,8538.599999999999,25055.9,38024.6,18520.499999999996,61018.79999999996,10134.900000000003,34602.3
1999-12-01,22926.50000000001,8903.699999999999,25845.7,39582.799999999996,19172.6,63450.499999999956,10532.100000000004,35716.5
2000-01-01,23422.20000000001,9308.499999999998,27074.800000000003,40912.799999999996,19838.399999999998,65383.79999999996,10994.800000000005,36944.2
2000-02-01,23902.900000000012,9635.899999999998,28358.100000000002,41909.899999999994,20464.499999999996,67141.69999999995,11303.700000000004,38049.1
2000-03-01,24465.800000000014,9981.099999999999,31629.800000000003,43208.899999999994,21192.299999999996,69409.39999999995,11669.700000000004,39140.9
2000-04-01,25067.300000000014,10279.599999999999,32885.1,44316.299999999996,21971.199999999993,71617.99999999994,11998.100000000004,40253.8
2000-05-01,25690.700000000015,10606.599999999999,33858.1,45382.799999999996,22891.399999999994,73818.99999999993,12393.600000000004,41472.100000000006
2000-06-01,26733.800000000017,11034.899999999998,34805.7,54471.70000000001,23571.199999999993,76763.89999999992,12992.500000000004,42702.600000000006
2000-07-01,27206.600000000017,11457.199999999997,35901.799999999996,79575.40000000002,24277.999999999993,78787.89999999992,13466.900000000003,43844.40000000001
2000-08-01,27845.800000000017,11848.099999999997,37134.799999999996,91436.50000000003,25018.499999999993,80730.09999999992,13891.700000000003,45145.90000000001
2000-09-01,28318.50000000002,12186.299999999996,38111.99999999999,95467.80000000002,25681.59999999999,82500.09999999992,14250.100000000002,46121.30000000001
2000-10-01,28912.00000000002,23166.100000000064,38963.19999999999,97822.90000000002,26455.999999999993,85272.49999999991,14646.400000000001,47358.90000000001
2000-11-01,29457.800000000017,26720.200000000044,39848.79999999999,99469.50000000001,27210.699999999993,87761.3999999999,14866.900000000001,48342.30000000001
2000-12-01,30019.00000000002,29225.70000000004,40758.69999999999,101187.70000000001,28106.199999999993,89834.3999999999,15258.000000000002,49339.90000000001
2001-01-01,30640.70000000002,30856.000000000036,41565.19999999999,102571.80000000002,33549.49999999999,91894.99999999991,15544.500000000002,50281.90000000001
2001-02-01,31123.50000000002,32166.300000000036,42471.89999999999,104021.70000000001,35620.799999999996,94424.0999999999,15931.200000000003,51535.00000000001
2001-03-01,31653.50000000002,33953.100000000035,43322.29999999999,105595.50000000001,36829.899999999994,96769.0999999999,16237.700000000003,52687.80000000001
2001-04-01,32329.600000000017,35236.00000000004,44254.99999999999,107188.20000000001,37777.1,98780.8999999999,16523.600000000002,53919.90000000001
2001-05-01,33019.60000000002,36343.30000000004,45510.399999999994,108963.30000000002,38839.700000000004,101479.09999999989,16891.4,55312.100000000006
2001-06-01,33786.20000000002,37154.60000000004,46554.899999999994,110824.30000000002,40172.40000000001,104012.6999999999,17301.800000000003,56588.3
2001-07-01,34504.60000000002,37968.70000000004,47642.2,112834.10000000002,41292.80000000001,106302.9999999999,17725.700000000004,58052.9
2001-08-01,35119.60000000002,38817.500000000044,48636.6,114422.60000000002,42915.4,108641.89999999989,18072.200000000004,59752.1
2001-09-01,35687.40000000002,39547.400000000045,49507.1,115894.10000000002,44385.1,110829.99999999988,18491.200000000004,61059.5
2001-10-01,36344.50000000002,40395.80000000005,50813.7,117336.90000000002,45723.899999999994,112878.69999999988,18858.300000000003,62804.6
2001-11-01,36874.00000000002,41078.80000000005,52177.2,118717.10000000002,46871.7,114801.49999999988,19213.300000000003,64345.6
2001-12-01,37635.60000000002,41773.00000000005,53370.7,120508.20000000003,47968.4,119928.59999999989,19604.200000000004,66047.3
2002-01-01,38252.00000000002,42746.200000000055,54760.5,122053.10000000002,49775.7,122949.09999999989,19978.100000000006,67463.40000000001
2002-02-01,38764.800000000025,43425.10000000006,56018.100000000006,123507.90000000002,50726.3,125094.09999999989,20331.300000000007,68898.00000000001
2002-03-01,39466.10000000003,44199.00000000006,57222.200000000004,125022.40000000002,51780.00000000001,127604.89999999989,20896.800000000007,70329.70000000001
2002-04-01,40163.30000000003,44852.90000000006,58489.50000000001,126301.50000000003,52862.80000000001,129752.9999999999,21617.300000000007,71967.20000000001
2002-05-01,40909.00000000003,45529.70000000006,59895.200000000004,128273.20000000003,53805.80000000001,132703.49999999988,22381.700000000004,73781.80000000002
2002-06-01,41510.700000000026,46102.600000000064,61367.100000000006,130138.80000000003,54922.30000000002,134983.69999999987,22893.200000000004,75535.50000000001
2002-07-01,42242.700000000026,46720.20000000006,62697.100000000006,131630.10000000003,55836.90000000002,137469.09999999986,23462.000000000004,77270.30000000002
2002-08-01,42974.60000000003,47348.90000000006,64154.100000000006,133845.30000000005,56921.700000000026,139806.69999999984,23977.800000000003,78860.20000000001
2002-09-01,43696.200000000026,49365.60000000005,65442.8,135516.80000000005,57951.90000000003,142049.69999999984,24471.9,80449.90000000001
2002-10-01,44546.60000000003,50329.60000000005,66735.8,137450.50000000006,58907.00000000003,145305.29999999984,25006.800000000003,82058.40000000001
2002-11-01,45391.50000000003,50978.300000000054,67908.5,138781.00000000006,59816.10000000003,147863.29999999984,25518.4,83772.1
2002-12-01,46151.90000000003,51612.90000000005,69180.0,140207.60000000006,60788.700000000026,150200.59999999983,26067.100000000002,85459.00000000001
2003-01-01,46863.100000000035,52247.700000000055,70352.9,141713.90000000005,61878.300000000025,152409.39999999982,26502.100000000002,87073.10000000002
2003-02-01,47599.90000000004,52783.90000000005,71897.29999999999,143232.70000000004,62800.700000000026,154656.89999999982,27048.2,88719.40000000002
2003-03-01,48262.600000000035,53451.00000000005,73368.99999999999,144654.60000000003,63631.10000000003,156769.09999999983,27564.4,90218.40000000002
2003-04-01,48962.20000000003,54042.60000000005,74675.69999999998,146315.20000000004,64377.90000000003,159081.09999999983,28047.7,91684.20000000003
2003-05-01,49899.70000000003,54693.70000000005,76057.89999999998,147879.70000000004,65158.00000000003,161228.39999999982,28550.600000000002,99671.70000000004
2003-06-01,50651.20000000003,55214.60000000005,77405.19999999998,149662.10000000003,65990.80000000003,163458.39999999982,29155.000000000004,105753.50000000004
2003-07-01,51413.70000000003,55757.00000000005,78827.89999999998,150871.40000000002,66858.90000000004,166087.39999999982,29666.400000000005,112352.30000000003
2003-08-01,52119.40000000004,56267.40000000005,80229.79999999997,152178.7,67757.50000000004,168719.49999999983,30160.600000000006,116538.60000000003
2003-09-01,52847.20000000004,56764.300000000054,84809.19999999997,153617.7,68583.40000000004,171066.19999999984,30617.400000000005,119137.70000000003
2003-10-01,53770.900000000045,57245.200000000055,89293.19999999997,155304.30000000002,69465.90000000004,173262.29999999984,31166.500000000004,122090.40000000002
2003-11-01,54463.60000000005,57742.300000000054,92195.79999999996,156838.1,70225.60000000003,175482.79999999984,31543.700000000004,125813.60000000002
2003-12-01,55229.50000000005,58411.60000000006,94926.69999999995,158484.4,71227.60000000003,178426.99999999983,32146.200000000004,127938.80000000002
2004-01-01,56066.800000000054,58909.60000000006,97212.69999999995,159845.4,72173.80000000003,180655.49999999983,32688.600000000006,130016.40000000002
2004-02-01,56744.90000000005,59351.300000000054,99120.49999999996,161250.1,72941.70000000003,182531.2999999998,33145.700000000004,131657.2
2004-03-01,57548.300000000054,59921.50000000005,101212.39999999995,162677.80000000002,73728.80000000003,184592.5999999998,33587.3,133579.7
2004-04-01,58300.800000000054,60382.90000000005,104434.69999999994,164521.2,74583.30000000003,187057.79999999978,34143.700000000004,135309.0
2004-05-01,59080.60000000006,60855.700000000055,107282.29999999993,166325.6,75432.10000000003,189433.49999999977,34984.9,137089.3
2004-06-01,59884.80000000006,61329.300000000054,109494.99999999993,168080.9,76390.20000000004,191578.69999999975,35609.0,139002.09999999998
2004-07-01,60650.20000000006,61841.200000000055,111372.89999999992,169642.8,77208.80000000005,194522.59999999974,36650.3,140999.09999999998
2004-08-01,61317.600000000064,62473.00000000006,113228.19999999992,171292.9,78014.30000000005,196714.29999999976,37468.4,142872.49999999997
2004-09-01,62466.80000000007,62904.30000000006,114829.19999999992,172537.0,84517.80000000003,198967.99999999977,38078.6,144665.09999999998
2004-10-01,69264.1000000001,63445.600000000064,116445.19999999992,173826.8,86395.00000000003,201660.99999999977,38691.4,146228.19999999998
2004-11-01,75540.00000000007,63882.80000000006,118938.59999999993,175173.19999999998,87613.10000000003,203817.59999999977,39174.0,147932.3
2004-12-01,78506.80000000008,64381.70000000006,122960.29999999993,176603.69999999998,89438.20000000003,207810.69999999978,39759.8,149575.0
2005-01-01,80460.30000000008,64873.90000000006,124967.69999999992,178691.09999999998,90531.60000000002,210220.09999999977,40528.100000000006,151157.4
2005-02-01,81620.30000000008,65300.10000000006,126545.19999999992,180153.49999999997,91421.60000000002,212392.39999999976,41202.600000000006,152647.9
2005-03-01,82738.60000000008,65776.10000000006,128345.79999999993,181613.79999999996,92497.60000000002,220723.09999999977,42116.90000000001,154333.4
2005-04-01,83802.60000000008,66225.60000000006,129925.99999999993,183209.49999999997,93429.40000000002,226468.49999999977,42852.00000000001,156253.9
2005-05-01,84882.70000000008,66733.10000000006,131478.69999999992,185084.19999999998,94351.10000000002,229923.29999999976,43400.50000000001,157902.5
2005-06-01,86286.90000000008,67187.30000000006,133038.19999999992,187034.19999999998,95328.80000000002,232948.59999999974,43955.200000000004,159535.8
2005-07-01,87401.50000000009,67769.80000000006,134719.89999999994,188989.09999999998,96287.70000000001,235611.59999999974,45253.50000000001,161349.19999999998
2005-08-01,88723.20000000008,68267.60000000006,136290.29999999993,190729.69999999998,97245.80000000002,238327.29999999976,46404.40000000001,165185.19999999998
2005-09-01,89795.40000000008,68726.50000000006,137674.39999999994,192156.49999999997,98060.70000000001,240878.89999999973,47136.100000000006,167219.69999999998
2005-10-01,90866.60000000008,69156.20000000006,139153.29999999993,194029.29999999996,98930.80000000002,243902.89999999973,47784.50000000001,169743.99999999997
2005-11-01,91806.90000000008,69572.40000000005,140428.29999999993,195475.09999999995,99860.30000000002,246478.69999999972,50554.40000000001,171522.69999999998
2005-12-01,92839.20000000008,70014.40000000005,141847.39999999994,196851.29999999996,100722.80000000002,249295.9999999997,51520.20000000001,173296.19999999998
2006-01-01,93725.30000000009,70501.20000000006,143252.59999999995,198473.59999999995,101550.60000000002,251774.59999999971,52132.10000000001,175196.9
2006-02-01,94505.00000000009,70883.40000000005,144603.69999999995,200075.39999999994,102314.90000000002,254444.9999999997,52763.500000000015,176866.4
2006-03-01,95341.30000000009,71277.70000000006,146031.09999999995,201868.49999999994,103165.50000000003,256937.69999999972,53420.70000000001,178591.4
2006-04-01,96137.70000000008,71705.00000000006,147337.99999999994,206872.49999999994,103949.30000000003,259152.09999999971,54124.000000000015,180087.5
2006-05-01,97044.00000000009,72165.10000000006,148642.79999999993,208602.79999999993,105047.50000000003,261673.19999999972,54668.30000000002,181814.3
2006-06-01,98007.4000000001,72599.40000000007,149930.19999999992,210209.69999999992,105934.90000000002,264211.7999999997,55364.20000000002,183636.09999999998
2006-07-01,98919.0000000001,73049.50000000007,151315.9999999999,211910.89999999994,106668.00000000003,266268.7999999997,55838.70000000002,185460.99999999997
2006-08-01,100086.5000000001,73516.70000000007,152768.8999999999,213533.29999999993,107493.80000000003,268767.8999999997,56721.00000000002,187345.79999999996
2006-09-01,100904.7000000001,73984.70000000007,154039.4999999999,215043.99999999994,108277.00000000003,271194.2999999997,57285.40000000002,188988.09999999995
2006-10-01,101810.5000000001,74481.10000000006,155277.7999999999,216609.29999999993,109147.70000000003,273375.9999999997,58189.90000000002,190720.59999999995
2006-11-01,102651.5000000001,74940.70000000007,156517.7999999999,218249.69999999992,109972.50000000003,275929.5999999997,59555.90000000002,192400.49999999994
2006-12-01,103690.5000000001,75378.70000000007,157922.1999999999,219968.59999999992,110738.30000000003,277888.9999999997,60686.700000000026,194148.99999999994
2007-01-01,104725.7000000001,75794.20000000007,159310.3999999999,221675.8999999999,111624.50000000003,279880.6999999997,61673.10000000003,195786.59999999995
2007-02-01,105630.4000000001,76181.70000000007,160451.6999999999,222951.1999999999,112330.20000000003,281700.89999999973,62339.300000000025,197110.49999999994
2007-03-01,111674.7000000001,76547.10000000006,161902.5999999999,224293.1999999999,113224.90000000002,283560.4999999997,63017.90000000002,198691.69999999995
2007-04-01,117237.30000000012,76975.70000000007,163316.5999999999,225602.6999999999,114266.80000000002,286525.2999999997,63615.800000000025,200179.49999999994
2007-05-01,119954.80000000012,77491.40000000007,164374.39999999988,227064.99999999988,115133.50000000001,289235.3999999997,64337.90000000002,201676.19999999995
2007-06-01,122185.90000000013,77975.10000000006,165687.0999999999,228613.79999999987,115950.90000000002,292556.8999999997,65011.50000000002,203438.59999999995
2007-07-01,127637.10000000014,78448.10000000006,167027.1999999999,230360.09999999986,116932.40000000002,294576.5999999997,65695.90000000002,205093.49999999994
2007-08-01,130122.20000000013,78889.90000000007,168328.7999999999,232383.49999999985,117871.60000000002,297583.3999999997,66973.30000000002,206953.09999999995
2007-09-01,131786.50000000012,79252.50000000007,169527.6999999999,233852.39999999985,118792.80000000002,299747.49999999965,67682.90000000002,208389.99999999994
2007-10-01,133365.00000000012,79729.10000000008,170839.8999999999,235582.99999999985,119600.60000000002,301819.19999999966,68289.60000000002,210032.29999999993
2007-11-01,134718.4000000001,80186.20000000008,172017.8999999999,237046.39999999985,120478.40000000002,303789.69999999966,68851.00000000001,211467.29999999993
2007-12-01,136271.8000000001,80629.60000000008,173250.7999999999,238517.89999999985,121328.60000000002,305666.3999999997,69470.90000000001,213114.19999999992
2008-01-01,137956.00000000012,81132.10000000008,174410.0999999999,239988.99999999985,122137.60000000002,307540.5999999997,70022.8,214699.4999999999
2008-02-01,139035.50000000012,81554.00000000007,175573.89999999988,241284.89999999985,122878.10000000002,309125.7999999997,70538.90000000001,216167.19999999992
2008-03-01,140614.4000000001,81988.40000000007,176911.5999999999,242751.19999999984,123655.20000000003,311181.8999999997,71201.6,217864.4999999999
2008-04-01,141945.50000000012,82457.00000000007,178172.99999999988,244260.09999999983,124480.30000000003,313324.49999999965,71939.3,219402.19999999992
2008-05-01,143200.9000000001,82942.30000000008,179396.79999999987,248361.69999999984,125319.40000000004,315790.0999999996,72642.3,221279.29999999993
2008-06-01,144450.4000000001,83437.20000000007,180773.19999999987,250224.69999999984,126179.30000000003,317923.29999999964,73331.7,231905.19999999995
2008-07-01,145691.3000000001,83854.80000000008,182143.39999999988,251981.39999999985,127058.30000000003,320362.79999999964,74201.8,238153.09999999995
2008-08-01,146868.4000000001,84332.70000000007,183413.29999999987,253546.29999999984,127982.40000000004,323007.79999999964,74886.5,242057.09999999995
2008-09-01,148039.8000000001,84752.00000000007,185154.69999999987,255213.19999999984,128750.40000000004,325084.0999999996,75399.8,245480.79999999993
2008-10-01,149110.6000000001,85190.80000000008,186392.99999999985,256790.09999999983,129586.00000000004,327200.0999999996,75999.1,249185.89999999994
2008-11-01,150221.3000000001,85672.00000000007,187551.49999999985,258239.99999999983,130411.50000000004,329318.49999999965,76534.0,252114.39999999994
2008-12-01,151255.2000000001,86125.80000000008,188840.79999999984,260244.39999999982,131212.20000000004,331329.19999999966,77099.9,255586.69999999992
2009-01-01,152233.8000000001,86589.40000000008,190055.19999999984,261940.1999999998,132081.20000000004,333363.99999999965,77675.29999999999,258389.59999999992
2009-02-01,153079.7000000001,87039.20000000008,191284.69999999984,263736.6999999998,133214.30000000005,335192.0999999996,78150.49999999999,260711.29999999993
2009-03-01,154101.5000000001,87531.80000000009,192501.09999999983,265298.5999999998,134156.80000000005,337338.8999999996,78801.39999999998,263058.49999999994
2009-04-01,155051.7000000001,88016.4000000001,193741.49999999983,266705.7999999998,135065.00000000006,340332.4999999996,79887.39999999998,265423.49999999994
2009-05-01,156167.5000000001,88474.6000000001,195010.7999999998,268210.69999999984,135988.00000000006,342984.7999999996,80582.09999999998,268034.0999999999
2009-06-01,157108.7000000001,88975.00000000009,196378.6999999998,270137.2999999998,136849.00000000006,346001.2999999996,81444.19999999998,270611.4999999999
2009-07-01,158057.1000000001,89445.80000000009,197664.9999999998,271652.69999999984,137674.10000000006,348920.59999999957,82207.09999999998,273016.3999999999
2009-08-01,161101.7000000001,89938.4000000001,198915.29999999978,273425.39999999985,138504.60000000006,353870.9999999996,83037.29999999997,275483.3999999999
2009-09-01,162307.8000000001,90426.30000000009,200284.29999999978,274809.69999999984,139315.20000000007,359846.6999999996,83570.19999999997,277649.3999999999
2009-10-01,163561.8000000001,90857.20000000008,201467.59999999977,276339.89999999985,140155.10000000006,363277.2999999996,84135.29999999997,279985.3999999999
2009-11-01,164601.7000000001,91236.50000000009,202763.69999999978,277601.19999999984,141074.80000000008,366022.89999999956,84656.69999999997,282022.9999999999
2009-12-01,165684.9000000001,91649.50000000009,204266.3999999998,284011.09999999986,141931.80000000008,368885.59999999957,85375.49999999997,284190.59999999986
2010-01-01,166617.60000000012,92063.70000000008,205489.19999999978,285632.39999999985,142772.0000000001,372705.69999999955,85914.39999999997,286490.89999999985
2010-02-01,167415.60000000012,92434.20000000008,206607.59999999977,286836.19999999984,143498.80000000008,376915.09999999957,86577.99999999997,288841.89999999985
